filename,ca_thtrA_amplitude,ca_thtrA_amplitude_err,ca_thtrA_mean,ca_thtrA_mean_err,ca_thtrA_stddev,ca_thtrA_stddev_err,ca_thtrA_chisquare,ca_thtrA_ndf,ca_thtrA_entries,cg_thtrG_amplitude,cg_thtrG_amplitude_err,cg_thtrG_mean,cg_thtrG_mean_err,cg_thtrG_stddev,cg_thtrG_stddev_err,cg_thtrG_chisquare,cg_thtrG_ndf,cg_thtrG_entries,PID,momentum,pseudorapidity,eta
out_2212_25.0_14.root,328.81881246075,13.51424783227708,221.1066644530366,0.019005721163227726,0.562479995714159,0.013908150266367103,10.81892443908417,8.0,939.0,1.3111031853114972,19.526891908417554,34.913223404206576,3.5091515255999877,0.25402666174330496,1.2985387814216152,3.16604926880274e-07,0.0,939.0,2212,25.0,14,2.9
out_211_32.0_10.root,350.4226312889545,14.021654858942771,224.16786853861174,0.01801075514266801,0.5444596009369448,0.012923564871335558,9.330982909152857,7.0,965.0,247.27645835929545,10.370786993223975,38.72968123742197,0.01027117590649213,0.30499867356483956,0.00822141207740465,14.486112593018966,11.0,965.0,211,32.0,10,2.5
out_211_12.5_10.root,355.9781411914155,15.518918141342075,223.89307834407737,0.01706851530662848,0.519907196956526,0.014910197160152239,16.176000127094163,9.0,944.0,235.32999817331398,9.791098442430844,37.335391918877754,0.010428479846081196,0.312062667430241,0.008041334935686484,8.903932576156587,10.0,944.0,211,12.5,10,2.5
out_211_30.5_13.root,339.84681075451465,14.767950778088723,224.11753570807105,0.01825546074086136,0.5574280323512737,0.0161118655125978,14.2254054726637,7.0,964.0,231.91698450610153,9.629916283235458,38.718272798132375,0.010559629713461785,0.3228658218302673,0.008290083734565495,19.58204528697348,17.0,964.0,211,30.5,13,2.8
out_321_55.0_6.root,400.1686346998006,16.197693313888696,223.97304278301536,0.015619045189300513,0.48382799653972536,0.012027339697538442,2.0919768840174564,4.0,972.0,168.13515758427633,6.822770225523401,37.93512658592611,0.014758189033041798,0.4533396090570294,0.011208448231577323,11.501944935930018,15.0,972.0,321,55.0,6,2.1
out_2212_48.0_15.root,340.24647614658005,14.168683193774685,223.35436519185504,0.017927873794271867,0.5478518848237226,0.014122132768415119,10.486810364930726,7.0,945.0,182.38871465249196,7.683266315687282,34.57674436487899,0.013809327670185202,0.4013974857648784,0.010935934522058516,23.835012693757392,14.0,945.0,2212,48.0,15,3.0
out_321_20.5_1.root,354.6708488185135,15.55841351572461,222.88184078558547,0.016661244418502745,0.47412776130095086,0.01288099423332592,11.037260865310188,7.0,854.0,70.78384665288065,3.3533605025763884,30.771633027379085,0.07947587765448995,0.9505138089551455,0.059579844910490065,21.32198337914201,22.0,854.0,321,20.5,1,1.6
out_2212_32.0_10.root,335.63828814194443,14.48008080384408,222.29918681356557,0.018319190470658255,0.5576246906490921,0.01573322270461408,12.76526133581355,6.0,951.0,1.3013192220832273,19.375078104839368,35.91770494316971,3.797064930685298,0.2511984731331686,1.3177583063075333,3.289507300940365e-09,0.0,951.0,2212,32.0,10,2.5
out_211_6.0_10.root,304.4672405038159,12.626425365956557,223.00791057193564,0.020132490193738296,0.6145079232866754,0.01579374536209649,6.550987922649201,10.0,945.0,161.23154533206147,6.790527023740025,31.26096719867397,0.015231727897403806,0.45446605069665097,0.012154721844593208,10.946586988785167,13.0,945.0,211,6.0,10,2.5
out_321_60.0_16.root,305.8697677512804,11.960456922273353,224.07139897424838,0.020097023636014292,0.6150881068238487,0.01336568489862433,7.078616182639985,6.0,950.0,218.4161516984249,8.663920925600943,38.08440307034405,0.011354072408907701,0.3422939756542049,0.007747164586355548,8.465744343218901,9.0,950.0,321,60.0,16,3.1
out_321_20.5_9.root,369.97084418434315,15.363819768190673,222.89331402612422,0.016937525187062995,0.5076259416259424,0.013072053279049173,13.528642841546095,6.0,955.0,208.6143589865371,9.01504359481457,30.676968743378076,0.013213078277430039,0.35292997810777454,0.011321170585082557,10.136486572269149,10.0,955.0,321,20.5,9,2.4
out_2212_38.0_5.root,377.01948550417376,16.00491972055624,222.79717858184563,0.016228615235783832,0.4941618281677103,0.013379398967259537,12.04411826159028,6.0,946.0,147.0963938655228,11.296499838865058,30.065468323049362,0.13073420225451335,0.6892677307888221,0.06284317793976568,17.477644721402264,15.0,946.0,2212,38.0,5,2.0
out_321_48.0_16.root,324.86342258551554,12.974857941446958,223.9812754201201,0.019147616190768033,0.583744270619882,0.013678802226683773,1.6821138751946185,5.0,952.0,211.78689859649188,8.368971465417035,37.602335513206064,0.011621009124336721,0.3552102834106645,0.008007313107775832,8.733241167224605,10.0,952.0,321,48.0,16,3.1
out_2212_27.5_5.root,405.8856874921314,15.742697862409045,221.56975631297092,0.015277668638242876,0.4690135720853711,0.010047588391339207,6.894366468271469,5.0,961.0,1.2809604781505468,18.96669788944266,39.33926384225699,3.7535854289831527,0.22823354251770916,1.255991609298745,1.459809297721927e-07,0.0,961.0,2212,27.5,5,2.0
out_2212_40.0_11.root,352.9234287359619,14.787035723885388,223.0014023493025,0.01743920851116352,0.5288183869355555,0.013876255504479795,13.520877876001292,7.0,949.0,24.426934542540387,5.914856065235675,33.76943973486774,0.02898389555679607,0.22256436068259414,0.046629889311292486,25.836272570310317,13.0,949.0,2212,40.0,11,2.6
out_211_4.5_4.root,371.6337730611257,15.288529677428667,222.04726253581362,0.01649937609301356,0.5081495191161765,0.01281989276305856,6.315564987765509,7.0,955.0,1.3024243441873355,19.395241624372964,31.917163628168783,3.7748275930229913,0.2515572393332336,1.3163977599240027,9.041681721369614e-09,0.0,955.0,211,4.5,4,1.9
out_211_16.0_4.root,416.39770858473224,17.79054822255212,224.0183885466707,0.014937901097262294,0.4606729277143829,0.01297120176734648,13.740351711986632,5.0,975.0,130.33806446660594,5.4078248222515555,38.06410304559086,0.018752073080991357,0.5717333362972545,0.01460713912235062,27.109962080053606,22.0,975.0,211,16.0,4,1.9
out_2212_50.0_16.root,309.7420607031421,12.896973929536829,223.41910069022353,0.01980791971575188,0.5959321745343277,0.015306016729118188,6.050646336509865,6.0,931.0,183.35689464005543,8.13794384307449,34.68171309453013,0.014073308575017091,0.3926029848644389,0.01219767656018056,23.269075404428982,10.0,931.0,2212,50.0,16,3.1
out_211_25.5_11.root,341.9036158312438,13.692618607675104,224.07835025597637,0.018008469001593332,0.5510659947844684,0.012866458845519957,5.4372099459909755,8.0,950.0,255.53492088849475,10.69264902169749,38.58994749578612,0.00969560593879238,0.29089824622099764,0.007752920891373222,10.028451530067537,12.0,950.0,211,25.5,11,2.6
out_321_26.0_4.root,412.87923072009534,16.561284466916213,223.36411963804198,0.015198384381011733,0.4701821886683999,0.011495016855361778,3.064726078081775,3.0,975.0,127.31983861655233,5.0743477846426055,34.08006214984932,0.020079485715783153,0.586217363769345,0.013460014555891853,37.10974330901135,23.0,975.0,321,26.0,4,1.9
out_321_36.0_3.root,385.1976163501047,15.283724444163118,223.74119628741167,0.015840990213130294,0.46828784823280084,0.010150148810140841,4.785934834937058,5.0,909.0,102.6161924192405,4.551464796200942,36.56099018989729,0.023183377824698634,0.6839616421671457,0.019856077806476857,22.933157496041037,23.0,909.0,321,36.0,3,1.8
out_211_18.5_19.root,275.95752960747046,11.442709736885108,224.09748323200103,0.022318346924791854,0.6826432226630514,0.01754453721022392,11.616948861633022,14.0,956.0,61.072360915665875,3.152356990800131,37.055619326924386,0.036347972214541655,0.8856701534378312,0.031003430714653835,46.775724620505976,33.0,956.0,211,18.5,19,3.4
out_321_50.0_8.root,376.5464026914181,15.937245524894012,223.9606393627136,0.016345157305357277,0.5025860472329343,0.013648930491901523,7.259232430486736,6.0,956.0,220.35275372072113,9.277235846452193,37.72280923653555,0.011357367137376076,0.3435856753204152,0.009458794635305606,7.208234449641012,10.0,956.0,321,50.0,8,2.3
out_321_24.5_17.root,295.25346783310215,12.761732934027366,223.30505371621206,0.0206446651857066,0.6261604685968806,0.01761041188880369,14.265233430759546,7.0,941.0,201.8675470303799,8.60956626219717,33.35031075129799,0.012023145913583859,0.35979734233303656,0.00966510599715853,21.767135014606634,19.0,941.0,321,24.5,17,3.2
out_211_50.0_14.root,353.5924294012127,14.165501354317728,224.15070099282863,0.01726960060127958,0.5281714244578606,0.01223939885203773,9.751993724991268,6.0,946.0,227.96072655641765,9.338657279741907,38.88765342364858,0.010700321242290207,0.324069117529468,0.00797993874340508,16.642015753054643,8.0,946.0,211,50.0,14,2.9
out_2212_30.5_13.root,324.1006334837911,13.452306020168406,222.09852741105058,0.019291241511378777,0.5726328053531277,0.014594413414648566,12.588777820154329,8.0,943.0,2.631019790230731,27.6538087481325,35.1113774331278,2.4312840527689557,0.25509533605822443,2.1205054830141115,1.458004772059789e-06,0.0,943.0,2212,30.5,13,2.8
out_211_26.0_7.root,365.7689598361285,14.980661049086068,224.09787839581892,0.01705223081023643,0.5189940251020025,0.013275529083204174,2.6307439468868243,4.0,952.0,189.80001131763416,7.670018974241721,38.63864079924677,0.012838942986405887,0.3907703683081721,0.009249534092179351,16.64816225431732,16.0,952.0,211,26.0,7,2.2
out_211_50.0_2.root,379.5732320191425,15.971068704064635,224.1619419773695,0.015775681075658982,0.47230494644278664,0.012117361475242755,4.271905676525487,5.0,903.0,91.822660097087,3.957330568590057,39.00551187183787,0.02604702865952029,0.7591311513446903,0.02043832244356386,20.101087560989477,26.0,903.0,211,50.0,2,1.7
out_321_36.0_5.root,412.66430779556606,16.62281818680871,223.7542066405192,0.014939957054981582,0.4607269872838535,0.011045285367264374,2.8977247903925374,4.0,957.0,142.6153519789628,6.009957040700303,36.561525383162625,0.017222970345910655,0.5215292773431164,0.013907185383164933,13.192866872557579,17.0,957.0,321,36.0,5,2.0
out_211_12.5_6.root,384.7165256683951,15.98854877798681,223.8973996005158,0.016021156475631786,0.49462212406389644,0.01289514637924044,5.052957224290376,6.0,959.0,156.31711586257617,6.263281007087598,37.363393684646326,0.015704247393900746,0.4771588755314922,0.011130812378704474,11.887472037025375,15.0,959.0,211,12.5,6,2.1
out_211_15.5_16.root,320.52485941645904,12.924833258599735,224.015482171429,0.019383706349165027,0.58831778826998,0.014023303543040211,10.602198767037137,9.0,956.0,197.8568246771791,8.798434451305969,37.91405489332376,0.011797188677474093,0.34358984503935186,0.009758209906342769,13.085436449485742,14.0,956.0,211,15.5,16,3.1
